"date","time","size","version","os","country","ip_id"
"2020-04-26","08:30:40",77266252,"3.4.4","osx","US",2
"2020-04-26","08:30:47",1034635,"4.0.0","src","CN",78
"2020-04-26","08:30:47",81774921,"3.6.3","osx","US",4
"2020-04-26","08:30:49",87564165,"4.0.0","win",NA,5
"2020-04-26","08:30:51",87660425,"4.0.0","win","CN",79
"2020-04-26","08:31:02",1786406,"4.0.0","win","EG",77
"2020-04-26","08:31:14",88140492,"latest","osx","US",2
"2020-04-26","08:31:21",87660877,"4.0.0","win","ID",80
"2020-04-26","08:31:31",88140089,"4.0.0","osx","GB",81
"2020-04-26","08:31:48",78114104,"3.5.3","osx","US",2
"2020-04-26","08:31:57",3486994,"4.0.0","win","CN",82
"2020-04-26","08:32:07",81774921,"3.6.3","osx","US",4
"2020-04-26","08:32:09",1031835,"4.0.0","win",NA,5
"2020-04-26","08:32:09",87670215,"4.0.0","win",NA,5
"2020-04-26","08:32:24",81774921,"3.6.3","osx","US",4
"2020-04-26","08:32:30",88141535,"4.0.0","osx","IT",83
"2020-04-26","08:32:34",88148071,"4.0.0","osx",NA,5
"2020-04-26","08:32:37",87564163,"4.0.0","win","RO",84
"2020-04-26","08:33:10",87660396,"4.0.0","win","AU",85
"2020-04-26","08:33:15",87660689,"4.0.0","win",NA,5
"2020-04-26","08:33:25",87564167,"4.0.0","win","CN",86
"2020-04-26","08:32:55",33211318,"4.0.0","src",NA,5
"2020-04-26","01:18:41",87564166,"4.0.0","win","US",87
"2020-04-26","01:19:02",33174488,"4.0.0","src","US",88
"2020-04-26","01:18:57",87564156,"4.0.0","win",NA,5
"2020-04-26","01:19:08",81774920,"3.6.3","osx","US",4
"2020-04-26","01:19:13",87662280,"4.0.0","win","PE",89
"2020-04-26","01:19:20",88144440,"4.0.0","osx","CL",90
"2020-04-26","01:20:07",87660372,"4.0.0","win","CL",91
"2020-04-26","01:20:19",81774920,"3.6.3","osx","US",4
"2020-04-26","01:20:19",88144759,"latest","osx","US",2
"2020-04-26","01:20:34",78410490,"4.0.0","win","RU",92
"2020-04-26","01:20:28",1058427,"4.0.0","osx","CA",93
"2020-04-26","01:20:33",88145408,"4.0.0","osx","CA",93
"2020-04-26","01:20:50",81774920,"3.6.3","osx","US",4
"2020-04-26","01:20:16",88141817,"4.0.0","osx","US",38
"2020-04-26","01:21:11",87660850,"4.0.0","win","CL",94
"2020-04-26","01:21:16",87564163,"4.0.0","win","US",95
"2020-04-26","01:21:19",548395,"4.0.0","win","CN",96
"2020-04-26","01:21:19",64537,"4.0.0","win","CN",96
"2020-04-26","01:21:39",87660350,"4.0.0","win",NA,5
"2020-04-26","01:21:40",87666152,"4.0.0","win","MY",97
"2020-04-26","01:21:42",81774920,"3.6.3","osx","US",4
"2020-04-26","01:21:56",81774920,"3.6.3","osx","US",4
"2020-04-26","01:22:09",87661208,"4.0.0","win",NA,5
"2020-04-26","01:22:25",27004773,"4.0.0","win","CN",98
"2020-04-26","01:23:01",2903522,"4.0.0","win","CN",98
"2020-04-26","01:23:09",1048744,"4.0.0","win","CN",96
"2020-04-26","01:23:23",78204703,"3.5.3","osx","US",2
"2020-04-26","01:23:31",87660460,"4.0.0","win","BR",99
"2020-04-26","01:23:33",65362713,"3.2.2","win","MX",100
"2020-04-26","08:38:57",87667356,"4.0.0","win","NZ",101
"2020-04-26","08:39:07",87660281,"4.0.0","win","ID",102
"2020-04-26","08:39:18",3395108,"4.0.0","src",NA,5
"2020-04-26","08:39:22",87564163,"4.0.0","win","JP",103
"2020-04-26","08:39:58",88143922,"latest","osx","US",2
"2020-04-26","08:40:03",87671019,"4.0.0","win","GB",104
"2020-04-26","08:40:18",87660712,"4.0.0","win","DE",105
